Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,1.405,16.4137,0.7941,1.606,27.126119,8.72584,89.19752
FCR,2016,2016-05-16 12:00:00,1.315,16.3996,0.7725,1.6062,27.13344,8.64929,88.38871
FCR,2016,2016-05-16 12:00:00,1.241,16.3911,0.7574,1.6042,27.158426,8.54565,87.31395
FCR,2016,2016-05-16 12:00:00,1.154,16.3875,0.7457,1.6028,27.185696,8.4267,86.09208
FCR,2016,2016-05-16 12:00:00,1.064,16.3894,0.735,1.6064,27.200479,8.3086,84.88888
FCR,2016,2016-05-16 12:00:00,1.002,16.3963,0.7198,1.6102,27.194695,8.19534,83.74395
FCR,2016,2016-05-16 12:00:00,0.934,16.4063,0.6923,1.6128,27.172812,8.09105,82.69563
FCR,2016,2016-05-16 12:00:00,0.859,16.4166,0.6566,1.6185,27.153039,7.99592,81.74108
FCR,2016,2016-05-16 12:00:00,0.82,16.4256,0.6276,1.6275,27.144132,7.91483,80.92742
FCR,2016,2016-05-16 12:00:00,0.81,16.433,0.6087,1.6434,27.131691,7.84033,80.17823
FCR,2016,2016-05-16 12:00:00,0.82,16.4388,0.5959,1.6715,27.120415,7.76946,79.46313
FCR,2016,2016-05-16 12:00:00,0.826,16.4425,0.5881,1.7149,27.123328,7.70498,78.80989
FCR,2016,2016-05-16 12:00:00,0.831,16.4442,0.5826,1.7633,27.135196,7.64584,78.20774
FCR,2016,2016-05-16 12:00:00,0.838,16.4445,0.5756,1.8022,27.143152,7.58977,77.6347
FCR,2016,2016-05-16 12:00:00,0.843,16.444,0.5673,1.8317,27.137295,7.53036,77.02619
FCR,2016,2016-05-16 12:00:00,0.845,16.4431,0.559,1.8481,27.126084,7.48316,76.54191
FCR,2016,2016-05-16 12:00:00,0.845,16.4422,0.5501,1.8513,27.118552,7.43504,76.04826
FCR,2016,2016-05-16 12:00:00,0.844,16.4414,0.544,1.8491,27.118701,7.39935,75.68199
FCR,2016,2016-05-16 12:00:00,0.843,16.4409,0.5446,1.8327,27.128576,7.3767,75.44947
FCR,2016,2016-05-16 12:00:00,0.842,16.4406,0.5521,1.7875,27.142795,7.40632,75.75203
FCR,2016,2016-05-16 12:00:00,0.842,16.4404,0.5643,1.7256,27.167152,7.47581,76.46241
FCR,2016,2016-05-16 12:00:00,0.844,16.4403,0.5766,1.6773,27.200128,7.59772,77.7092
FCR,2016,2016-05-16 12:00:00,0.845,16.44,0.5883,1.6492,27.208435,7.76653,79.43523
FCR,2016,2016-05-16 12:00:00,0.844,16.439,0.6017,1.6327,27.172245,7.97103,81.52508
