Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,6.565,9.7661,0.2619,3.1294,21.537,12.15567,107.20037
SHR,2015,2015-05-08 12:00:00,6.593,9.7403,0.25,3.0779,21.629,12.12109,106.83015
SHR,2015,2015-05-08 12:00:00,6.624,9.7114,0.25,3.1465,21.734,12.08723,106.4588
SHR,2015,2015-05-08 12:00:00,6.658,9.6809,0.2777,3.1294,21.842,12.06403,106.17774
SHR,2015,2015-05-08 12:00:00,6.694,9.6506,0.2658,3.0607,21.961,12.03792,105.87184
SHR,2015,2015-05-08 12:00:00,6.729,9.6216,0.2539,3.0264,22.077,12.02156,105.65521
SHR,2015,2015-05-08 12:00:00,6.764,9.5948,0.246,3.1637,22.192,12.00258,105.42131
SHR,2015,2015-05-08 12:00:00,6.803,9.5706,0.2738,3.0607,22.321,11.98229,105.18257
SHR,2015,2015-05-08 12:00:00,6.849,9.5491,0.2539,3.1122,22.471,11.96612,104.98693
SHR,2015,2015-05-08 12:00:00,6.889,9.5302,0.2539,3.1294,22.601,11.94502,104.75473
SHR,2015,2015-05-08 12:00:00,6.921,9.5135,0.2619,3.0779,22.707,11.91534,104.45299
SHR,2015,2015-05-08 12:00:00,6.943,9.4984,0.2579,3.0607,22.78,11.88266,104.1291
SHR,2015,2015-05-08 12:00:00,6.963,9.4831,0.2658,3.1122,22.845,11.84691,103.77799
SHR,2015,2015-05-08 12:00:00,6.985,9.4667,0.2698,3.1122,22.918,11.81613,103.46795
SHR,2015,2015-05-08 12:00:00,7.011,9.4494,0.2579,3.0607,23.003,11.77846,103.09559
SHR,2015,2015-05-08 12:00:00,7.041,9.4319,0.2539,2.992,23.1,11.73953,102.71201
SHR,2015,2015-05-08 12:00:00,7.072,9.4147,0.3293,3.0779,23.202,11.70941,102.40652
SHR,2015,2015-05-08 12:00:00,7.106,9.3981,0.3293,3.1465,23.312,11.68945,102.19155
SHR,2015,2015-05-08 12:00:00,7.139,9.3826,0.3254,3.0092,23.421,11.66518,101.94163
SHR,2015,2015-05-08 12:00:00,7.175,9.369,0.3333,3.1294,23.539,11.65501,101.81972
SHR,2015,2015-05-08 12:00:00,7.209,9.3571,0.3254,3.1122,23.652,11.65398,101.78179
SHR,2015,2015-05-08 12:00:00,7.24,9.3466,0.3254,3.1122,23.754,11.65401,101.75657
SHR,2015,2015-05-08 12:00:00,7.274,9.3371,0.3135,3.0779,23.865,11.66196,101.80284
SHR,2015,2015-05-08 12:00:00,7.308,9.328,0.3214,3.1122,23.975,11.6715,101.86405
SHR,2015,2015-05-08 12:00:00,7.34,9.3194,0.3928,3.1294,24.082,11.67583,101.88095
SHR,2015,2015-05-08 12:00:00,7.37,9.3113,0.369,3.0607,24.179,11.67628,101.8652
SHR,2015,2015-05-08 12:00:00,7.399,9.3033,0.3849,3.0435,24.273,11.6844,101.91669
SHR,2015,2015-05-08 12:00:00,7.426,9.2954,0.3928,3.095,24.362,11.67994,101.85855
SHR,2015,2015-05-08 12:00:00,7.457,9.2876,0.3809,3.0607,24.465,11.68716,101.90261
SHR,2015,2015-05-08 12:00:00,7.491,9.2801,0.3769,3.095,24.578,11.68799,101.8916
SHR,2015,2015-05-08 12:00:00,7.524,9.2732,0.3888,3.1294,24.685,11.69292,101.91777
