Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,10.626,8.5489,2.7256,10.42102
CCR,2014,2014-05-08 12:00:00,10.641,8.5405,2.7375,10.4253
CCR,2014,2014-05-08 12:00:00,10.669,8.5324,2.7415,10.41794
CCR,2014,2014-05-08 12:00:00,10.707,8.5247,2.793,10.42708
CCR,2014,2014-05-08 12:00:00,10.747,8.5173,2.8049,10.41095
CCR,2014,2014-05-08 12:00:00,10.78,8.5103,2.8089,10.41151
CCR,2014,2014-05-08 12:00:00,10.804,8.5036,2.7891,10.41116
CCR,2014,2014-05-08 12:00:00,10.83,8.4969,2.793,10.4008
CCR,2014,2014-05-08 12:00:00,10.862,8.4903,2.797,10.39438
CCR,2014,2014-05-08 12:00:00,10.903,8.4837,2.7851,10.39954
CCR,2014,2014-05-08 12:00:00,10.944,8.4772,2.793,10.40125
CCR,2014,2014-05-08 12:00:00,10.977,8.471,2.7851,10.40651
CCR,2014,2014-05-08 12:00:00,10.999,8.465,2.7494,10.4198
CCR,2014,2014-05-08 12:00:00,11.013,8.4592,2.7296,10.44776
CCR,2014,2014-05-08 12:00:00,11.032,8.4532,2.7335,10.48459
CCR,2014,2014-05-08 12:00:00,11.066,8.4467,2.7415,10.51862
CCR,2014,2014-05-08 12:00:00,11.113,8.4392,2.8724,10.56406
CCR,2014,2014-05-08 12:00:00,11.159,8.4304,2.8486,10.61605
CCR,2014,2014-05-08 12:00:00,11.194,8.4208,2.8684,10.66739
CCR,2014,2014-05-08 12:00:00,11.217,8.411,2.8684,10.71551
CCR,2014,2014-05-08 12:00:00,11.23,8.4015,2.6105,10.74659
CCR,2014,2014-05-08 12:00:00,11.249,8.392,2.6066,10.76619
CCR,2014,2014-05-08 12:00:00,11.277,8.3822,2.6145,10.76804
CCR,2014,2014-05-08 12:00:00,11.324,8.372,2.5788,10.75908
CCR,2014,2014-05-08 12:00:00,11.377,8.3615,2.5471,10.74129
