Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,1.415,16.4646,0.8462,1.9359,26.958848,6.1527,62.96177,
FCR,2016,2016-05-16 12:00:00,1.415,16.4627,0.8635,1.9325,26.964602,6.2759,64.2199,
FCR,2016,2016-05-16 12:00:00,1.415,16.4602,0.8807,1.9292,26.942996,6.44711,65.96841,
FCR,2016,2016-05-16 12:00:00,1.414,16.4566,0.8955,1.9252,26.908307,6.64339,67.97154,
FCR,2016,2016-05-16 12:00:00,1.415,16.4509,0.9035,1.9274,26.873326,6.85897,70.16884,
FCR,2016,2016-05-16 12:00:00,1.417,16.4415,0.9035,1.934,26.856779,7.06439,72.25604,
FCR,2016,2016-05-16 12:00:00,1.42,16.4275,0.8952,1.9343,26.866277,7.24818,74.11402,
FCR,2016,2016-05-16 12:00:00,1.421,16.4104,0.8826,1.9352,26.882309,7.38794,75.51589,
FCR,2016,2016-05-16 12:00:00,1.423,16.3917,0.8742,1.9415,26.893122,7.48387,76.4663,
FCR,2016,2016-05-16 12:00:00,1.418,16.3712,0.8716,1.9435,26.90761,7.54522,77.05976,
FCR,2016,2016-05-16 12:00:00,1.378,16.3485,0.8704,1.9405,26.929635,7.59842,77.56603,
FCR,2016,2016-05-16 12:00:00,1.321,16.3248,0.8685,1.9398,26.945033,7.64611,78.01381,
FCR,2016,2016-05-16 12:00:00,1.258,16.3018,0.8658,1.9422,26.945887,7.67791,78.30025,
FCR,2016,2016-05-16 12:00:00,1.194,16.2806,0.8598,1.9451,26.928417,7.69774,78.46727,
FCR,2016,2016-05-16 12:00:00,1.127,16.2609,0.8496,1.9493,26.897981,7.71256,78.58563,
FCR,2016,2016-05-16 12:00:00,1.045,16.2429,0.8366,1.9534,26.886541,7.71559,78.58665,
FCR,2016,2016-05-16 12:00:00,0.97,16.228,0.8225,1.953,26.897056,7.70737,78.47813,
FCR,2016,2016-05-16 12:00:00,0.905,16.2173,0.8089,1.9489,26.910289,7.6805,78.18686,
FCR,2016,2016-05-16 12:00:00,0.838,16.2103,0.796,1.9437,26.919748,7.64665,77.8308,
FCR,2016,2016-05-16 12:00:00,0.794,16.2062,0.7811,1.9336,26.92595,7.6027,77.37675,
FCR,2016,2016-05-16 12:00:00,0.78,16.2047,0.7635,1.9228,26.928545,7.55612,76.90022,
FCR,2016,2016-05-16 12:00:00,0.793,16.2052,0.7473,1.9209,26.922214,7.51747,76.5077,
