Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-05-08 12:00:00,5.654850619,0.09424751,5.631085281,0.093851421,8142.984891,0.010756308,0.000179272,37.93959962,14.95635417
FCR,2014,2014-05-09 12:00:00,5.652332916,0.094205549,5.623049218,0.093717487,8139.359399,0.010728181,0.000178803,37.95636742,15.01770833
FCR,2014,2014-05-10 12:00:00,5.597648692,0.093294145,5.58291178,0.09304853,8060.614116,0.008695508,0.000144925,38.32284883,14.80697917
FCR,2014,2014-05-11 12:00:00,5.546514371,0.092441906,5.550867693,0.092514462,7986.980694,0.007456499,0.000124275,38.67408085,15.15083333
FCR,2014,2014-05-12 12:00:00,5.572147529,0.092869125,5.550867693,0.092514462,8023.892442,0.009868198,0.00016447,38.50094095,15.51572917
FCR,2014,2014-05-13 12:00:00,5.625096095,0.093751602,5.598955315,0.093315922,8100.138376,0.011972174,0.000199536,38.14348887,15.80239583
FCR,2014,2014-05-14 12:00:00,5.532959515,0.092215992,5.518881037,0.091981351,7967.461702,0.009829917,0.000163832,38.7737721,15.92125
FCR,2014,2014-05-15 12:00:00,6.317661251,0.105294354,5.81693771,0.096948962,9097.432202,0.101279447,0.001687991,34.68917045,15.5625
FCR,2014,2014-05-16 12:00:00,6.408677226,0.106811287,6.268866009,0.1044811,9228.495205,0.039242559,0.000654043,33.57887719,14.64864583
FCR,2014,2014-05-17 12:00:00,5.832619682,0.097210328,5.81693771,0.096948962,8398.972342,0.010561814,0.00017603,36.78208315,14.68520833
FCR,2014,2014-05-18 12:00:00,5.708789236,0.095146487,5.711659601,0.095194327,8220.656499,0.007807462,0.000130124,37.57496781,15.11614583
FCR,2014,2014-05-19 12:00:00,5.645244784,0.094087413,5.647171676,0.094119528,8129.152489,0.005689286,9.48E-05,37.99483502,15.476875
FCR,2014,2014-05-20 12:00:00,5.623496672,0.093724945,5.631085281,0.093851421,8097.835208,0.006598122,0.000109969,38.14308822,16.1153125
FCR,2014,2014-05-21 12:00:00,5.68719378,0.094786563,5.679387205,0.094656453,8189.559043,0.009787591,0.000163127,37.72148814,16.83291667
FCR,2014,2014-05-22 12:00:00,5.63276348,0.093879391,5.623049218,0.093717487,8111.179411,0.011375961,0.000189599,38.09001576,17.1725
FCR,2014,2014-05-23 12:00:00,5.561738226,0.092695637,5.566882566,0.092781376,8008.903045,0.008571097,0.000142852,38.57032559,16.9240625
FCR,2014,2014-05-24 12:00:00,5.526189404,0.092103157,5.510895163,0.091848253,7957.712742,0.007493,0.000124883,38.81637568,16.7678125
FCR,2014,2014-05-25 12:00:00,5.515770367,0.091929506,5.502909289,0.091715155,7942.709329,0.009024488,0.000150408,38.89281627,17.16572917
FCR,2014,2014-05-26 12:00:00,5.609138888,0.093485648,5.598955315,0.093315922,8077.159999,0.010966465,0.000182774,38.24958278,17.61875
FCR,2014,2014-05-27 12:00:00,5.802261791,0.096704363,5.81693771,0.096948962,8355.256979,0.016779714,0.000279662,36.99251441,18.03739583
FCR,2014,2014-05-28 12:00:00,5.874623894,0.097910398,5.890168107,0.098169468,8459.458407,0.012637347,0.000210622,36.52517494,18.188125
